iter	Passed	Remaining
165	427955	4728130
166	430459	4724747
167	433126	4723138
168	435770	4721274
169	438136	4716412
170	441088	4717840
171	443818	4716861
172	446910	4719680
173	449285	4714918
174	451640	4709965
175	454260	4707791
176	457266	4709583
177	460012	4708664
178	462819	4708348
179	465658	4708320
180	468199	4705280
181	470787	4702704
182	473357	4699944
183	475815	4696087
184	478376	4693257
185	481247	4693454
186	483953	4692022
187	486387	4687944
188	488778	4683481
189	491674	4683845
190	494369	4682273
191	496968	4679783
192	499329	4675073
193	501795	4671352
194	504556	4670385
195	507592	4671926
196	510784	4674840
197	512919	4668087
198	515634	4666622
199	518011	4662107
200	520485	4658477
201	523079	4655921
202	525698	4653599
203	528105	4649400
204	530542	4645477
205	533028	4642001
206	535559	4638925
207	537899	4634210
208	540451	4631332
209	543110	4629372
210	545428	4624508
211	547715	4619409
212	550113	4615274
213	552418	4610367
214	554993	4607732
215	557273	4602664
216	559722	4599010
217	562079	4594616
218	564938	4594317
219	567252	4589586
220	569933	4587838
221	572213	4582864
222	574403	4577193
223	576907	4574053
224	579354	4570464
225	581783	4566744
226	584305	4563757
227	586491	4558173
228	588850	4553946
229	591482	4551841
230	594110	4549702
231	596750	4547647
232	599276	4544731
233	601992	4543245
234	604321	4538838
235	607008	4537132
236	609288	4532384
237	611891	4530050
238	614608	4528559
239	616924	4524114
240	619564	4522049
241	622374	4521215
242	624589	4516063
243	627305	4514546
244	629683	4510586
245	632422	4509222
246	635071	4507206
247	637621	4504486
248	640094	4501229
249	642546	4497822
250	644809	4493113
251	647342	4490294
252	649795	4486926
253	652109	4482610
254	654969	4482049
255	657245	4477482
256	659748	4474479
257	661976	4469626
258	664049	4463748
259	666252	4458764
260	669014	4457536
261	671673	4455604
262	674268	4453248
263	677081	4452324
264	679869	4451219
265	682084	4446371
266	684927	4445616
267	687376	4442300
268	690057	4440478
269	693186	4441530
270	695897	4439875
271	698452	4437225
272	700926	4434069
273	703366	4430698
274	705932	4428125
275	708854	4427774
276	711039	4422817
277	713664	4420609
278	716231	4418044
279	718633	4414460
280	721438	4413354
281	724089	4411294
282	726653	4408708
283	729641	4408677
284	732100	4405445
285	734383	4401166
286	736746	4397374
287	739255	4394463
288	741602	4390594
289	743984	4386942
290	746441	4383738
291	749139	4381952
292	751645	4379039
293	753944	4374929
294	756533	4372507
295	759010	4369439
296	761347	4365574
297	764270	4365062
298	766828	4362459
299	769583	4360975
300	772568	4360774
301	774991	4357403
302	777635	4355269
303	779968	4351401
304	782403	4348110
305	784780	4344502
306	787304	4341715
307	789587	4337606
308	791934	4333854
309	794573	4331705
310	796732	4326950
311	799102	4323349
312	801273	4318687
313	803561	4314666
314	805780	4310283
315	808168	4306822
316	810881	4305088
317	813090	4300688
318	815588	4297817
319	817958	4294280
320	820744	4292929
321	823108	4289364
322	826078	4288956
323	828729	4286882
324	831172	4283736
325	833462	4279806
326	836104	4277683
327	838143	4272487
328	840391	4268372
329	842666	4264400
330	845701	4264279
331	848166	4261272
332	850557	4257894
333	853543	4257494
334	856025	4254576
335	858516	4251702
336	861175	4249659
337	863729	4247095
338	866082	4243549
339	868272	4239212
340	870900	4237021
341	873933	4236786
342	876508	4234328
343	878777	4230394
344	881072	4226592
345	883554	4223696
346	886033	4220787
347	888410	4217395
348	891129	4215629
349	893825	4213749
350	896217	4210437
351	898607	4207117
352	901162	4204572
353	903741	4202140
354	905975	4198113
355	908394	4194944
356	911086	4193041
357	913380	4189302
358	916036	4187228
359	918459	4184095
360	921195	4182382
361	924561	4183511
362	926744	4179285
363	929420	4177287
364	932007	4174881
365	934797	4173384
366	937189	4170111
367	939454	4166276
368	942264	4164862
369	945144	4163743
370	947972	4162390
371	950451	4159503
372	953203	4157806
373	955691	4154959
374	957939	4151072
375	960316	4147749
376	962564	4143877
377	964977	4140722
378	967545	4138235
379	970130	4135821
380	973031	4134746
381	975485	4131769
382	978456	4130977
383	981081	4128717
384	983787	4126797
385	986338	4124222
386	988796	4121264
387	991167	4117943
388	993652	4115101
389	996063	4111954
390	998557	4109155
391	1001056	4106375
392	1003573	4103669
393	1006053	4100819
394	1008512	4097879
395	1010809	4094288
396	1013227	4091195
397	1015788	4088678
398	1018162	4085408
399	1020205	4080820
400	1022616	4077717
401	1024931	4074228
402	1027098	4070163
403	1029503	4067047
404	1032581	4066586
405	1035254	4064523
406	1038284	4063849
407	1040848	4061349
408	1043201	4058027
409	1045682	4055208
410	1048375	4053207
411	1050926	4050658
412	1053387	4047761
413	1056008	4045482
414	1058608	4043119
415	1061170	4040610
416	1063466	4037093
417	1066177	4035152
418	1068761	4032724
419	1071475	4030788
420	1073927	4027864
421	1076457	4025235
422	1078986	4022603
423	1081558	4020130
424	1083946	4016976
425	1086451	4014258
426	1088854	4011164
427	1091210	4007905
428	1093513	4004452
429	1096044	4001835
430	1098292	3998193
431	1100560	3994627
432	1103004	3991703
433	1105344	3988408
434	1107862	3985758
435	1110377	3983097
436	1113005	3980841
437	1115847	3979345
438	1118738	3978021
439	1121053	3974644
440	1123676	3972361
441	1126068	3969265
442	1128367	3965841
443	1130913	3963290
444	1133581	3961167
445	1136415	3959618
446	1139622	3959360
447	1142242	3957054
448	1144736	3954312
449	1147289	3951774
450	1149769	3948987
451	1152077	3945609
452	1154693	3943291
453	1157015	3939969
454	1159715	3937933
455	1162712	3936902
456	1165398	3934814
457	1167936	3932222
458	1170597	3930043
459	1172894	3926647
460	1175360	3923815
461	1177941	3921373
462	1180126	3917613
463	1182753	3915320
464	1185201	3912438
465	1187835	3910171
466	1190424	3907752
467	1192717	3904367
468	1195233	3901709
469	1197774	3899138
470	1200452	3897009
471	1203193	3895083
472	1205922	3893115
473	1208305	3890028
474	1211348	3889064
475	1213950	3886682
476	1216505	3884146
477	1218913	3881144
478	1221529	3878802
479	1223747	3875199
480	1226096	3872017
481	1228589	3869291
482	1230957	3866174
483	1233329	3863072
484	1236069	3861124
485	1238658	3858702
486	1241973	3858532
487	1244561	3856099
488	1246987	3853166
489	1249704	3851129
490	1252381	3848969
491	1254747	3845852
492	1257405	3843629
493	1259798	3840601
494	1262380	3838146
495	1264496	3834278
496	1266607	3830404
497	1268841	3826908
498	1271267	3823993
499	1273707	3821121
500	1276069	3818018
501	1278349	3814677
502	1280513	3810992
503	1283164	3808757
504	1285685	3806136
505	1288598	3804676
506	1291335	3802689
507	1293552	3799174
508	1295834	3795853
509	1298299	3793069
510	1300739	3790218
511	1302964	3786739
512	1305472	3784088
513	1307880	3781148
514	1310279	3778184
515	1312722	3775347
516	1315518	3773527
517	1317904	3770529
518	1320541	3768250
519	1323125	3765818
520	1325630	3763161
521	1328097	3760400
522	1330562	3757631
523	1333217	3755397
524	1335818	3753014
525	1338073	3749659
526	1340760	3747514
527	1343390	3745211
528	1345812	3742325
529	1348378	3739842
530	1350848	3737094
531	1353385	3734530
532	1355797	3731623
533	1358370	3729159
534	1360904	3726588
535	1363513	3724223
536	1366368	3722527
537	1368821	3719734
538	1371468	3717467
539	1373875	3714553
540	1376370	3711876
541	1379462	3710805
542	1382529	3709661
543	1385386	3707945
544	1387822	3705103
545	1390241	3702219
546	1392688	3699409
547	1395326	3697106
548	1398115	3695201
549	1400805	3693033
550	1403920	3691980
551	1406811	3690331
552	1409652	3688547
553	1411871	3685136
554	1414536	3682891
555	1417332	3680985
556	1419829	3678302
557	1422103	3675040
558	1424518	3672149
559	1427200	3669945
560	1429978	3667983
561	1432325	3664918
562	1434537	3661509
563	1437068	3658920
564	1439732	3656666
565	1442771	3655360
566	1445416	3653053
567	1447816	3650128
568	1450048	3646782
569	1452295	3643477
570	1454802	3640828
571	1457183	3637862
572	1459861	3635641
573	1462454	3633206
574	1465036	3630743
575	1467506	3628003
576	1470429	3626379
577	1472780	3623346
578	1475054	3620125
579	1477857	3618202
580	1480320	3615447
581	1482493	3611985
582	1484781	3608808
583	1487220	3605999
584	1489465	3602725
585	1491886	3599875
586	1494516	3597531
587	1496841	3594455
588	1499221	3591514
589	1501647	3588683
590	1504275	3586334
591	1506985	3584182
592	1509272	3581021
593	1512035	3578993
594	1514362	3575931
595	1517085	3573805
596	1519684	3571385
597	1521973	3568238
598	1524421	3565467
599	1526792	3562515
600	1529433	3560196
601	1531916	3557507
602	1534496	3555044
603	1536904	3552184
604	1539417	3549566
605	1542094	3547326
606	1544768	3545078
607	1547391	3542713
608	1549832	3539928
609	1552657	3538023
610	1555104	3535253
611	1557921	3533325
612	1560508	3530873
613	1563053	3528326
614	1565525	3525615
615	1568446	3523912
616	1571413	3522308
617	1573787	3519376
618	1576116	3516344
619	1578347	3513097
620	1580911	3510590
621	1583209	3507496
622	1585769	3504983
623	1588522	3502895
624	1591381	3501040
625	1593806	3498227
626	1596005	3494921
627	1598391	3492027
628	1600594	3488736
629	1603001	3485891
630	1606018	3484372
631	1608684	3482089
632	1610988	3479021
633	1613547	3476508
634	1615946	3473649
635	1618485	3471092
636	1620992	3468465
637	1623247	3465301
638	1625648	3462452
639	1628074	3459657
640	1630400	3456653
641	1632891	3453998
642	1635693	3451999
643	1637964	3448881
644	1640182	3445655
645	1642609	3442868
646	1645165	3440354
647	1647572	3437528
648	1650081	3434916
649	1652454	3432020
650	1654878	3429233
651	1657661	3427189
652	1660131	3424497
653	1662635	3421876
654	1664918	3418802
655	1667794	3416944
656	1670017	3413750
657	1672585	3411260
658	1675258	3408985
659	1677510	3405854
660	1679770	3402743
661	1682076	3399725
662	1684534	3397016
663	1687335	3395000
664	1689780	3392265
665	1692385	3389853
666	1694522	3386504
667	1696958	3383754
668	1699406	3381031
669	1701823	3378246
670	1704471	3375920
671	1706693	3372751
672	1709081	3369912
673	1711722	3367573
674	1714325	3365158
675	1716988	3362859
676	1719556	3360374
677	1721932	3357513
678	1724931	3355867
679	1727522	3353425
680	1730542	3351814
681	1732960	3349034
682	1735610	3346703
683	1738177	3344212
684	1740803	3341833
685	1743735	3340042
686	1746028	3337024
687	1748685	3334701
688	1751198	3332105
689	1754047	3330147
690	1756479	3327398
691	1758892	3324611
692	1761236	3321696
693	1764029	3319629
694	1766551	3317049
695	1769175	3314662
696	1771708	3312103
697	1774076	3309237
698	1776555	3306579
699	1778675	3303255
700	1781065	3300433
701	1783474	3297649
702	1786062	3295197
703	1788200	3291914
704	1790314	3288591
705	1792594	3285576
706	1795402	3283529
707	1797900	3280913
708	1800753	3278946
709	1803073	3276007
710	1805465	3273199
711	1808100	3270833
712	1810473	3267993
713	1813116	3265641
714	1815783	3263331
715	1818133	3260451
716	1820876	3258276
717	1823184	3255324
718	1825618	3252596
719	1827844	3249501
720	1830043	3246360
721	1832326	3243369
722	1834915	3240922
723	1837191	3237922
724	1840032	3235918
725	1842540	3233328
726	1845686	3231854
727	1848446	3229703
728	1850761	3226773
729	1853263	3224170
730	1855833	3221686
731	1858375	3219152
732	1860702	3216248
733	1863103	3213472
734	1865809	3211222
735	1868651	3209206
736	1871082	3206482
737	1873690	3204061
738	1876160	3201405
739	1878591	3198683
740	1881430	3196654
741	1883923	3194037
742	1886196	3191048
743	1888463	3188050
744	1890886	3185319
745	1893879	3183545
746	1896200	3180641
747	1898508	3177718
748	1901141	3175337
749	1903443	3172405
750	1906352	3170484
751	1908491	3167283
752	1910745	3164275
753	1913059	3161369
754	1915697	3158998
755	1917977	3156036
756	1920429	3153359
757	1922883	3150686
758	1925351	3148038
759	1927658	3145127
760	1930574	3143208
761	1933300	3140979
762	1935642	3138125
763	1938444	3136016
764	1940729	3133073
765	1943006	3130117
766	1945386	3127329
767	1947783	3124569
768	1950543	3122391
769	1953081	3119858
770	1955464	3117076
771	1957767	3114169
772	1960276	3111591
773	1962780	3109003
774	1965113	3106147
775	1967691	3103677
776	1970076	3100905
777	1972261	3097820
778	1974769	3095242
779	1976947	3092148
780	1978990	3088847
781	1981846	3086815
782	1984121	3083876
783	1986633	3081309
784	1988889	3078344
785	1991465	3075877
786	1994373	3073919
787	1997151	3071761
788	1999642	3069160
789	2001938	3066259
790	2004252	3063390
791	2006983	3061156
792	2009412	3058463
793	2011846	3055776
794	2014569	3053530
795	2016938	3050746
796	2019299	3047951
797	2021820	3045399
798	2024400	3042934
799	2026835	3040252
800	2029257	3037552
801	2031497	3034580
802	2033670	3031511
803	2036218	3029002
804	2038315	3025821
805	2040932	3023416
806	2043476	3020900
807	2045615	3017788
808	2048155	3015269
809	2050549	3012536
810	2052675	3009410
811	2054985	3006555
812	2057640	3004205
813	2059987	3001406
814	2062368	2998658
815	2064904	2996135
816	2067471	2993657
817	2069730	2990735
818	2072423	2988439
819	2075031	2986021
820	2077799	2983831
821	2080197	2981109
822	2082319	2977994
823	2084544	2975029
824	2086909	2972264
825	2089315	2969560
826	2092200	2967534
827	2094888	2965228
828	2097491	2962801
829	2099733	2959864
830	2102280	2957359
831	2104801	2954817
832	2107567	2952619
833	2109705	2949539
834	2111944	2946605
835	2114323	2943867
836	2117058	2941623
837	2119544	2939033
838	2121972	2936364
839	2124641	2934028
840	2127290	2931664
841	2130470	2930030
842	2132823	2927256
843	2135379	2924761
844	2137810	2922096
845	2140674	2920021
846	2143618	2918054
847	2146173	2915556
848	2149267	2913789
849	2151729	2911163
850	2154391	2908808
851	2157003	2906385
852	2159618	2903965
853	2161839	2901016
854	2164472	2898621
855	2166799	2895815
856	2169453	2893448
857	2172326	2891372
858	2174969	2888987
859	2177548	2886517
860	2179935	2883794
861	2182735	2881615
862	2185006	2878740
863	2187335	2875941
864	2189562	2873010
865	2192015	2870375
866	2194459	2867731
867	2197061	2865291
868	2199896	2863156
869	2202327	2860494
870	2204958	2858092
871	2207288	2855300
872	2209910	2852885
873	2212090	2849900
874	2214426	2847119
875	2216832	2844428
876	2219594	2842194
877	2222289	2839873
878	2224555	2837004
879	2227138	2834539
880	2229469	2831755
881	2232120	2829377
882	2234406	2826536
883	2237161	2824290
884	2239800	2821895
885	2242035	2818992
886	2244618	2816528
887	2246996	2813807
888	2249092	2810733
889	2251370	2807889
890	2253957	2805430
891	2256287	2802652
892	2258705	2799985
893	2261031	2797204
894	2263687	2794832
895	2266023	2792064
896	2268412	2789362
897	2270754	2786604
898	2273127	2783885
899	2275591	2781277
900	2278298	2778967
901	2281090	2776759
902	2283561	2774160
903	2285800	2771280
904	2288448	2768896
905	2290894	2766267
906	2293037	2763274
907	2295191	2760296
908	2297458	2757455
909	2300422	2755450
910	2303121	2753127
911	2305672	2750626
912	2308410	2748348
913	2310745	2745590
914	2313127	2742889
915	2315680	2740391
916	2318311	2737983
917	2320853	2735472
918	2323197	2732727
919	2325921	2730429
920	2328365	2727802
921	2330865	2725242
922	2333452	2722782
923	2336019	2720299
924	2338598	2717830
925	2341147	2715326
926	2343723	2712854
927	2346216	2710284
928	2348669	2707669
929	2350936	2704840
930	2353307	2702133
931	2356016	2699812
932	2358290	2696995
933	2360972	2694643
934	2363401	2692002
935	2365609	2689111
936	2368096	2686538
937	2370553	2683931
938	2372595	2680855
939	2375163	2678376
940	2377663	2675819
941	2380162	2673260
942	2382495	2670516
943	2384978	2667942
944	2388042	2666016
945	2390598	2663520
946	2393097	2660962
947	2395658	2658473
948	2398211	2655975
949	2400861	2653583
950	2403164	2650809
951	2405892	2648503
952	2408584	2646157
953	2411178	2643703
954	2413739	2641212
955	2416794	2639261
956	2419092	2636482
957	2421312	2633619
958	2423695	2630935
959	2426007	2628174
960	2428362	2625461
961	2430731	2622764
962	2433189	2620163
963	2435418	2617316
964	2438306	2615178
965	2440876	2612697
966	2443508	2610283
967	2445949	2607664
968	2448539	2605205
969	2451252	2602876
970	2454122	2600712
971	2456549	2598079
972	2458886	2595350
973	2461178	2592575
974	2463986	2590345
975	2466600	2587908
976	2469696	2585977
977	2471983	2583197
978	2474701	2580868
979	2477124	2578231
980	2479849	2575908
981	2482555	2573565
982	2485433	2571400
983	2487842	2568747
984	2490313	2566160
985	2492816	2563606
986	2495418	2561154
987	2497831	2558507
988	2500150	2555765
989	2502562	2553119
990	2505312	2550817
991	2508057	2548509
992	2510751	2546150
993	2513296	2543637
994	2516000	2541287
995	2518430	2538658
996	2520965	2536136
997	2523361	2533475
998	2525761	2530817
999	2528591	2528591
1000	2531162	2526104
1001	2533285	2523172
1002	2536006	2520835
1003	2538579	2518352
1004	2540987	2515703
1005	2543517	2513177
1006	2545936	2510541
1007	2548353	2507903
1008	2551036	2505527
1009	2553505	2502941
1010	2555725	2500110
1011	2558054	2497389
1012	2560597	2494876
1013	2563149	2492372
1014	2565716	2489882
1015	2568154	2487267
1016	2571025	2485071
1017	2573686	2482672
1018	2576303	2480229
1019	2578514	2477396
1020	2580964	2474793
1021	2583455	2472230
1022	2585774	2469503
1023	2588306	2466979
1024	2590829	2464447
1025	2593367	2461930
1026	2595750	2459265
1027	2598973	2457395
1028	2601777	2455127
1029	2603987	2452298
1030	2607008	2450233
1031	2609433	2447608
1032	2611948	2445066
1033	2614268	2442344
1034	2616515	2439553
1035	2619002	2436987
1036	2621670	2434588
1037	2623937	2431819
1038	2626402	2429232
1039	2628783	2426569
1040	2631322	2424052
1041	2633787	2421466
1042	2636624	2419223
1043	2639096	2416643
1044	2641391	2413903
1045	2643745	2411217
1046	2646206	2408629
1047	2648400	2405798
1048	2650823	2403177
1049	2653283	2400590
1050	2656205	2398419
1051	2659016	2396147
1052	2661602	2393673
1053	2663934	2390969
1054	2666203	2388210
1055	2668949	2385879
1056	2671346	2383235
1057	2673818	2380659
1058	2676534	2378299
1059	2679126	2375828
1060	2682077	2373676
1061	2684640	2371179
1062	2687121	2368610
1063	2689732	2366155
1064	2692106	2363492
1065	2694478	2360828
1066	2697205	2358474
1067	2699590	2355822
1068	2701807	2353023
1069	2704080	2350275
1070	2706662	2347796
1071	2709382	2345435
1072	2711938	2342932
1073	2714299	2340261
1074	2716736	2337656
1075	2719650	2335461
1076	2722112	2332878
1077	2724705	2330406
1078	2727176	2327830
1079	2729516	2325143
1080	2732049	2322620
1081	2734318	2319874
1082	2737104	2317566
1083	2739395	2314840
1084	2742109	2312470
1085	2744765	2310051
1086	2747041	2307312
1087	2749479	2304710
1088	2751967	2302150
1089	2754520	2299645
1090	2757512	2297505
1091	2760054	2294990
1092	2762561	2292445
1093	2765017	2289859
1094	2767399	2287211
1095	2769904	2284665
1096	2772276	2282010
1097	2774671	2279375
1098	2777108	2276774
1099	2779758	2274347
1100	2782383	2271900
1101	2784603	2269123
1102	2787391	2266809
1103	2789951	2264308
1104	2792313	2261647
1105	2794986	2259238
1106	2798156	2257230
1107	2800623	2254653
1108	2802873	2251903
1109	2805372	2249352
1110	2808065	2246957
1111	2810225	2244137
1112	2813136	2241915
1113	2815975	2239635
1114	2818439	2237057
1115	2821006	2234560
1116	2823752	2232205
1117	2826364	2229743
1118	2828508	2226913
1119	2830791	2224193
1120	2833730	2221988
1121	2836145	2219372
1122	2838643	2216821
1123	2841309	2214400
1124	2844130	2212101
1125	2846376	2209354
1126	2848963	2206872
1127	2851845	2204618
1128	2854760	2202388
1129	2857639	2200129
1130	2860664	2197981
1131	2863591	2195757
1132	2866713	2193680
1133	2869552	2191386
1134	2872392	2189092
1135	2875600	2187076
1136	2878475	2184805
1137	2881293	2182491
1138	2884227	2180263
1139	2887066	2177962
1140	2890046	2175766
1141	2892915	2173486
1142	2896443	2171698
1143	2899004	2169185
1144	2901465	2166596
1145	2904456	2164402
1146	2907250	2162061
1147	2910048	2159722
1148	2912775	2157330
1149	2915376	2154843
1150	2918125	2152466
1151	2920881	2150093
1152	2923906	2147917
1153	2927236	2145963
1154	2929889	2143512
1155	2932706	2141180
1156	2935113	2138548
1157	2937993	2136261
1158	2940872	2133972
1159	2943688	2131636
1160	2946164	2129054
1161	2948967	2126708
1162	2951500	2124166
1163	2954200	2121745
1164	2956701	2119180
1165	2959345	2116718
1166	2962504	2114624
1167	2965515	2112421
1168	2968169	2109964
1169	2970669	2107397
1170	2973061	2104755
1171	2975657	2102256
1172	2978159	2099691
1173	2981091	2097429
1174	2983950	2095113
1175	2986884	2092851
1176	2989387	2090285
1177	2992346	2088037
1178	2995063	2085620
1179	2997714	2083157
1180	3000148	2080543
1181	3002658	2077981
1182	3004970	2075283
1183	3007733	2072897
1184	3010514	2070522
1185	3012919	2067889
1186	3015481	2065363
1187	3018215	2062955
1188	3020939	2060540
1189	3023742	2058177
1190	3026459	2055756
1191	3029333	2053440
1192	3031920	2050930
1193	3034322	2048294
1194	3037468	2046160
1195	3040149	2043712
1196	3043151	2041478
1197	3045887	2039066
1198	3048835	2036795
1199	3051739	2034493
1200	3054613	2032169
1201	3057768	2030032
1202	3061386	2028200
1203	3064336	2025923
1204	3067406	2023724
1205	3070524	2021555
1206	3073219	2019107
1207	3076273	2016894
1208	3078805	2014338
1209	3081466	2011866
1210	3084529	2009656
1211	3087524	2007400
1212	3090659	2005234
1213	3093921	2003148
1214	3097274	2001120
1215	3100438	1998967
1216	3103174	1996537
1217	3106133	1994249
1218	3109341	1992121
1219	3112216	1989778
1220	3115147	1987469
1221	3118033	1985130
1222	3120559	1982563
1223	3123412	1980202
1224	3126291	1977858
1225	3129036	1975427
1226	3131597	1972880
1227	3134160	1970335
1228	3136434	1967608
1229	3139269	1965233
1230	3142191	1962912
1231	3144882	1960445
1232	3147592	1957991
1233	3150623	1955735
1234	3153537	1953406
1235	3156557	1951140
1236	3159372	1948747
1237	3162223	1946376
1238	3165037	1943981
1239	3167770	1941537
1240	3170508	1939094
1241	3173107	1936566
1242	3176098	1934277
1243	3178696	1931747
1244	3181643	1929430
1245	3184379	1926984
1246	3187105	1924531
1247	3189986	1922171
1248	3192655	1919683
1249	3195274	1917164
1250	3197672	1914513
1251	3200503	1912121
1252	3203230	1909667
1253	3206877	1907759
1254	3209684	1905350
1255	3212330	1902845
1256	3215234	1900492
1257	3218265	1898213
1258	3220919	1895711
1259	3224171	1893560
1260	3226586	1890917
1261	3229438	1888530
1262	3232213	1886097
1263	3234888	1883606
1264	3237796	1881249
1265	3240587	1878823
1266	3243500	1876468
1267	3246376	1874091
1268	3249661	1871948
1269	3252755	1869693
1270	3255335	1867143
1271	3258057	1864674
1272	3260402	1861989
1273	3263152	1859535
1274	3265776	1857010
1275	3268782	1854701
1276	3272263	1852659
1277	3274858	1850115
1278	3278007	1847884
1279	3280692	1845389
1280	3283657	1843051
1281	3286541	1840668
1282	3289664	1838417
1283	3292226	1835852
1284	3294783	1833284
1285	3297851	1830999
1286	3300546	1828507
1287	3303320	1826059
1288	3306193	1823664
1289	3308912	1821184
1290	3312047	1818932
1291	3314751	1816442
1292	3317472	1813962
1293	3319961	1811354
1294	3323082	1809091
1295	3325981	1806705
1296	3328338	1804026
1297	3331164	1801600
1298	3333568	1798946
1299	3336190	1796410
1300	3339156	1794058
1301	3341993	1791637
1302	3344820	1789209
1303	3347552	1786730
1304	3350761	1784505
1305	3353666	1782116
1306	3356429	1779652
1307	3359063	1777119
1308	3361814	1774647
1309	3364541	1772163
1310	3367163	1769622
1311	3369786	1767083
1312	3372506	1764593
1313	3375297	1762141
1314	3377831	1759554
1315	3381229	1757417
1316	3384379	1755149
1317	3387688	1752961
1318	3390776	1750658
1319	3393418	1748124
1320	3396369	1745749
1321	3398800	1743106
1322	3401351	1740525
1323	3403766	1737874
1324	3406797	1735538
1325	3409515	1733041
1326	3411944	1730398
1327	3415108	1728127
1328	3417668	1725549
1329	3420411	1723064
1330	3422932	1720466
1331	3426118	1718203
1332	3429606	1716089
1333	3432418	1713636
1334	3435159	1711146
1335	3437821	1708617
1336	3440857	1706274
1337	3443866	1703916
1338	3447143	1701689
1339	3449782	1699146
1340	3452621	1696702
1341	3455422	1694238
1342	3458696	1692005
1343	3461386	1689486
1344	3464556	1687200
1345	3467435	1684771
1346	3470045	1682212
1347	3472455	1679555
1348	3475253	1677086
1349	3477704	1674450
1350	3480247	1671858
1351	3483015	1669374
1352	3485674	1666837
1353	3488331	1664300
1354	3490872	1661706
1355	3494174	1659475
1356	3496800	1656921
1357	3499507	1654406
1358	3502001	1651790
1359	3504436	1649146
1360	3506852	1646494
1361	3509393	1643900
1362	3511806	1641247
1363	3514417	1638687
1364	3517035	1636130
1365	3519250	1633385
1366	3521484	1630650
1367	3523788	1627949
1368	3526279	1625333
1369	3528737	1622704
1370	3531059	1620012
1371	3533321	1617293
1372	3535720	1614637
1373	3538234	1612034
1374	3540589	1609359
1375	3542869	1606650
1376	3545303	1604011
1377	3547423	1601231
1378	3549945	1598634
1379	3552444	1596025
1380	3555468	1593653
1381	3558019	1591068
1382	3560638	1588513
1383	3563273	1585965
1384	3565649	1583302
1385	3568329	1580775
1386	3570745	1578130
1387	3573533	1575650
1388	3576023	1573038
1389	3578412	1570382
1390	3580965	1567798
1391	3583273	1565107
1392	3585786	1562507
1393	3588486	1559987
1394	3591104	1557432
1395	3593720	1554876
