Naive,SNaive,Autoarima,Random Forest,XGBoost,item_id,weighting_factor,Naive_weighted,SNaive_weighted,Autoarima_weighted,Random Forest_weighted,XGBoost_weighted
1.25356634105602,2.31455024943138,1.27982029870131,1.2721596348831,1.27243089942161,1438,0.000126885560967366,0.000159059468394702,0.000293683006786258,0.000162390716538139,0.000161418688912182,0.000161453108465321
0.422577127364258,0.422577127364258,0.415450365811563,0.419334238874424,0.410498765495374,1439,0.0000378078872408405,0.0000159767483819462,0.0000159767483819462,0.0000157073005847695,0.0000158541416195879,0.0000155200910383533
0.462910049886276,0.534522483824849,0.460725278422463,0.492450440720095,0.45233856324165,1440,0.0000392400041817815,0.0000181645922933261,0.0000209746645005433,0.0000180788618519499,0.0000193237573531766,0.0000177497671131834
5.02138284880626,4.19182878603463,3.70862257693878,3.6366832167811,3.60289015704085,1441,0.00111361413327567,0.00559188290901869,0.00466807978039995,0.00412997451666425,0.00404986182845384,0.00401222939952048
3.67909150276455,3.06477685041785,2.08660647652054,2.35754585156981,2.06115647797648,1442,0.00026522805746226,0.000975798292504148,0.00081286481059163,0.000553426582455715,0.00062528730659007,0.000546676528779456
3.15096357144468,1.4142135623731,1.30869864696203,1.29601485972775,1.30285033182217,1443,0.000206511262883682,0.000650709466439519,0.000292051028752899,0.000270261010318295,0.000267641665398395,0.000269053267373021
0.886405260427918,0.845154254728517,0.697633197974027,0.722272337127279,0.700351897450041,1444,0.0000421042380636633,0.0000373214181059406,0.0000355845759416074,0.0000293733142486132,0.0000304107264292055,0.0000294877830185748
10.321613938029,10.321613938029,6.29514553812973,6.41321324449269,7.36288537472398,1445,0.00105976653629629,0.0109385010520925,0.0109385010520925,0.00667138458242478,0.00679650878664549,0.00780293953071782
2.53546276418555,2.53546276418555,2.28890111155693,2.16943510901888,2.22495658976534,1446,0.000214817541141139,0.000544661876657256,0.000544661876657256,0.000491696108699881,0.000466032715784695,0.000477959703759165
1.29559693908693,1.11803398874989,0.896029350070364,0.929406222898401,0.92287873519838,1447,0.000121729939979979,0.000157712937633297,0.000136098210346101,0.000109073599004365,0.000113136563730441,0.000112341973044498
0.267261241912424,0.267261241912424,0.259427350005697,0.297832744978257,0.279330604851815,1448,0.0000148940161857857,0.00000398059326287683,0.00000398059326287683,0.00000386391515002033,0.00000443592572436313,0.00000416035454984823
0.823754471047914,0.944911182523068,0.694723675563341,0.633717084841768,0.673276260279833,1449,0.00006158102846046,0.0000507276475260327,0.0000581886024235599,0.0000427817984370215,0.0000390249498375207,0.0000414610445460444
0.866025403784439,1.0522085616183,0.684105034628817,0.648197849693066,0.658922924823255,1450,0.0000590032179667663,0.00005109828566425,0.0000620836911076624,0.0000403643984703663,0.0000382457590110292,0.0000388785729566457
4.84399480948171,3.81257318430929,4.19273448209195,3.88487471658747,4.99289948423938,1451,0.000905384330062856,0.00438567699541054,0.00345184401829148,0.00379603610020025,0.00351730469265567,0.00452049295460925
5.51620987894509,8.29802041797578,6.01643123064043,7.1183947174535,5.84816689565625,1452,0.00134103430349709,0.00739742667295488,0.0111279300316247,0.00806824066492001,0.00954601150193759,0.0078425924196511
8.47685925665531,9.4339811320566,8.22886904223695,8.58302383151692,8.06162358080291,1453,0.000964387548029622,0.00817497751351802,0.00909801393210178,0.00793581883869976,0.00827736130755641,0.0077745293982283
1.48804761828569,1.60356745147455,1.42605441830278,1.42409600460333,1.41971835461305,1454,0.000204792722554553,0.000304741323039545,0.000328398944187338,0.000292045566835175,0.000291644497961777,0.000290747987101877
1,0.377964473009227,0.167719709835983,0.287524574583312,0.186786533653015,1455,0.0000257781049369367,0.0000257781049369367,0.00000974320784766585,0.00000432349628014456,0.0000074118386555567,0.0000048150028653141
7.34360752141422,13.5883353337654,5.06240491461305,6.98938114830597,5.18792438465481,1456,0.00135650116645925,0.00996161216881729,0.0184325927304922,0.00686715817176163,0.00948110368050532,0.00703742547928663
0.77919372247398,0.866025403784439,0.630909985539396,0.624189310184342,0.605749078016538,1457,0.0000704601534942937,0.0000549021092873067,0.0000610202828806093,0.0000444540144221885,0.000043980474605086,0.0000426811730160722
0.462910049886276,0.963624111659431,0.60211959065388,0.631558543314408,0.554513306970918,1458,0.000115428625439839,0.0000534330707606601,0.000111229806649534,0.0000695018366995759,0.0000728999345395691,0.0000640067088117525
1.62568666810586,1.28173988892331,0.974748283944251,0.91503896937025,0.942469959738103,1459,0.000093946871325725,0.000152728176224488,0.000120415452417727,0.0000915745516066818,0.0000859650483134509,0.0000885421040358767
3.21269802057843,2.67928561907301,3.01466850043356,2.91984202618991,3.23543683212292,1460,0.000211380460482881,0.00067910158698231,0.000566348627924814,0.000637242015824882,0.000617197552033291,0.000683908127437417
0.377964473009227,0.654653670707977,0.379443622825882,0.449859102351453,0.414203498859714,1461,0.0000315065727007005,0.0000119083651471471,0.0000206258934699413,0.0000119549680883808,0.0000141735185133079,0.0000130501326497081
1.60356745147455,1.4142135623731,1.21105917463755,1.15115045694167,1.19338834420129,1462,0.000111991544781581,0.000179585996052097,0.000158379961501225,0.000135628387789565,0.00012891911794892,0.000133649404191435
0.823754471047914,0.77919372247398,0.632369497454521,0.634345235284572,0.643015355327026,1463,0.0000730379639879874,0.0000601653493913412,0.0000569107230417204,0.000046186980582185,0.0000463312844506659,0.0000469645323660982
0.944911182523068,0.626783170528009,0.471926237513471,0.506196973036377,0.470122593466232,1464,0.0000297880323715713,0.0000281470448932569,0.0000186706373736444,0.0000140577540400451,0.000015078611819199,0.0000140040270327792
